NAME                            VERSION                         TYPE                     
Simple Launcher                 1.1.0.14                        binary  (+5 duplicates)  
adduser                         3.134                           deb                      
annotated-types                 0.7.0                           python                   
anyio                           4.13.0                          python                   
apt                             2.6.1                           deb                      
apt-utils                       2.6.1                           deb                      
base-files                      12.4+deb12u7                    deb                      
base-passwd                     3.6.1                           deb                      
bash                            5.2.15-2+b7                     deb                      
boto3                           1.38.10                         python                   
botocore                        1.38.46                         python                   
bsdutils                        1:2.38.1-5+deb12u1              deb                      
ca-certificates                 20230311                        deb                      
camelot-py                      1.0.9                           python                   
cffi                            2.0.0                           python                   
chardet                         7.4.3                           python                   
charset-normalizer              3.4.7                           python                   
cli                             UNKNOWN                         binary                   
cli-32                          UNKNOWN                         binary                   
cli-64                          UNKNOWN                         binary                   
cli-arm64                       UNKNOWN                         binary                   
click                           8.4.0                           python                   
coreutils                       9.1-1                           deb                      
cryptography                    48.0.0                          python                   
curl                            7.88.1-10+deb12u14              deb                      
dash                            0.5.12-2                        deb                      
debconf                         1.5.82                          deb                      
debian-archive-keyring          2023.3+deb12u1                  deb                      
debianutils                     5.7-0.5~deb12u1                 deb                      
defusedxml                      0.7.1                           python                   
deprecated                      1.3.1                           python                   
deprecation                     2.1.0                           python                   
diffutils                       1:3.8-4                         deb                      
dirmngr                         2.2.40-1.1+deb12u2              deb                      
dpkg                            1.21.22                         deb                      
e2fsprogs                       1.47.0-2                        deb                      
et-xmlfile                      2.0.0                           python                   
fastapi                         0.115.12                        python                   
ffmpeg                          5.1.6                           binary                   
findutils                       4.9.0-4                         deb                      
fire                            0.7.1                           python                   
fontconfig                      2.14.1-4                        deb                      
fontconfig-config               2.14.1-4                        deb                      
fonts-opensymbol                4:102.12+LibO7.4.7-1+deb12u12   deb                      
fonts-urw-base35                20200910-7                      deb                      
fonttools                       4.63.0                          python                   
fpdf2                           2.8.7                           python                   
gcc-12-base                     12.2.0-14+deb12u1               deb                      
ghostscript                     10.0.0~dfsg-11+deb12u8          deb                      
gnupg                           2.2.40-1.1+deb12u2              deb                      
gnupg-l10n                      2.2.40-1.1+deb12u2              deb                      
gnupg-utils                     2.2.40-1.1+deb12u2              deb                      
gpg                             2.2.40-1.1+deb12u2              deb                      
gpg-agent                       2.2.40-1.1+deb12u2              deb                      
gpg-wks-client                  2.2.40-1.1+deb12u2              deb                      
gpg-wks-server                  2.2.40-1.1+deb12u2              deb                      
gpgconf                         2.2.40-1.1+deb12u2              deb                      
gpgsm                           2.2.40-1.1+deb12u2              deb                      
gpgv                            2.2.40-1.1+deb12u2              deb                      
grep                            3.8-5                           deb                      
gui                             UNKNOWN                         binary                   
gui-32                          UNKNOWN                         binary                   
gui-64                          UNKNOWN                         binary                   
gui-arm64                       UNKNOWN                         binary                   
gzip                            1.12-1                          deb                      
h11                             0.16.0                          python                   
hostname                        3.23+nmu1                       deb                      
idna                            3.15                            python                   
img2pdf                         0.6.3                           python                   
init-system-helpers             1.65.2                          deb                      
iso-codes                       4.15.0-1                        deb                      
jmespath                        1.1.0                           python                   
libabsl20220623                 20220623.1-1+deb12u2            deb                      
libabw-0.1-1                    0.1.3-1                         deb                      
libacl1                         2.3.1-3                         deb                      
libapt-pkg6.0                   2.6.1                           deb                      
libarchive13                    3.6.2-1+deb12u4                 deb                      
libassuan0                      2.5.5-5                         deb                      
libattr1                        1:2.5.1-4                       deb                      
libaudit-common                 1:3.0.9-1                       deb                      
libaudit1                       1:3.0.9-1                       deb                      
libavahi-client3                0.8-10+deb12u1                  deb                      
libavahi-common-data            0.8-10+deb12u1                  deb                      
libavahi-common3                0.8-10+deb12u1                  deb                      
libblkid1                       2.38.1-5+deb12u1                deb                      
libboost-filesystem1.74.0       1.74.0+ds1-21                   deb                      
libboost-iostreams1.74.0        1.74.0+ds1-21                   deb                      
libboost-locale1.74.0           1.74.0+ds1-21                   deb                      
libboost-thread1.74.0           1.74.0+ds1-21                   deb                      
libbrotli1                      1.0.9-2+b6                      deb                      
libbsd0                         0.11.7-2                        deb                      
libbz2-1.0                      1.0.8-5+b1                      deb                      
libc-bin                        2.36-9+deb12u8                  deb                      
libc6                           2.36-9+deb12u8                  deb                      
libcairo2                       1.16.0-7                        deb                      
libcap-ng0                      0.8.3-1+b3                      deb                      
libcap2                         1:2.66-4+deb12u3+b1             deb                      
libcap2-bin                     1:2.66-4+deb12u3+b1             deb                      
libclucene-contribs1v5          2.3.3.4+dfsg-1.1                deb                      
libclucene-core1v5              2.3.3.4+dfsg-1.1                deb                      
libcom-err2                     1.47.0-2                        deb                      
libcrypt1                       1:4.4.33-2                      deb                      
libcups2                        2.4.2-3+deb12u9                 deb                      
libcurl3-gnutls                 7.88.1-10+deb12u14              deb                      
libcurl4                        7.88.1-10+deb12u14              deb                      
libdatrie1                      0.2.13-2+b1                     deb                      
libdb5.3                        5.3.28+dfsg2-1                  deb                      
libdbus-1-3                     1.14.10-1~deb12u1               deb                      
libdconf1                       0.40.0-4                        deb                      
libdebconfclient0               0.270                           deb                      
libdeflate0                     1.14-1                          deb                      
libdw1                          0.188-2.1                       deb                      
libe-book-0.1-1                 0.1.3-2+b2                      deb                      
libelf1                         0.188-2.1                       deb                      
libeot0                         0.01-5+b1                       deb                      
libepoxy0                       1.5.10-1                        deb                      
libepubgen-0.1-1                0.1.1-1                         deb                      
libetonyek-0.1-1                0.1.10-3+b1                     deb                      
libexpat1                       2.5.0-1                         deb                      
libext2fs2                      1.47.0-2                        deb                      
libexttextcat-2.0-0             3.4.5-1                         deb                      
libexttextcat-data              3.4.5-1                         deb                      
libffi8                         3.4.4-1                         deb                      
libfontconfig1                  2.14.1-4                        deb                      
libfontenc1                     1:1.1.4-1                       deb                      
libfreetype6                    2.12.1+dfsg-5+deb12u4           deb                      
libfribidi0                     1.0.8-2.1                       deb                      
libgcc-s1                       12.2.0-14+deb12u1               deb                      
libgcrypt20                     1.10.1-3                        deb                      
